Year,Student_ID,Campus_ID,Grade,Gender,Teacher_ID,Attendance_Rate,Standardized_Math_Score,Standardized_Social_Studies_Score,Standardized_Science_Score
2022,S1080,C3,2nd,Female,T0062,0.96,88.8,71.2,74.8
2023,S1080,C3,3rd,Female,T0098,0.902,72.3,58.0,63.5
2024,S1080,C3,4th,Female,T0069,1.0,79.3,74.8,88.7
2025,S1080,C3,5th,Female,T0089,0.807,73.0,50.3,75.2
2021,S1081,C3,1st,Female,T0055,0.946,77.1,80.6,66.8
2022,S1081,C3,2nd,Female,T0063,0.798,81.7,74.4,74.5
2023,S1081,C3,3rd,Female,T0098,0.91,60.8,59.7,55.8
2024,S1081,C3,4th,Female,T0071,0.731,64.0,60.8,75.0
2025,S1081,C3,5th,Female,T0075,1.0,83.7,76.1,83.4
2021,S1082,C3,1st,Male,T0059,1.0,77.1,86.7,79.9
2022,S1082,C3,2nd,Male,T0060,0.818,67.3,73.5,66.5
2023,S1082,C3,3rd,Male,T0098,0.853,55.1,49.8,54.2
2024,S1082,C3,4th,Male,T0068,0.806,84.3,73.3,82.3
2025,S1082,C3,5th,Male,T0117,0.982,79.9,65.1,70.9
2021,S1083,C3,1st,Male,T0055,0.777,63.9,73.0,69.5
2022,S1083,C3,2nd,Male,T0060,0.911,88.0,73.6,79.7
2023,S1083,C3,3rd,Male,T0087,0.917,86.7,70.0,86.2
2024,S1083,C3,4th,Male,T0068,0.983,97.3,88.3,96.6
2025,S1083,C3,5th,Male,T0117,0.855,64.0,50.9,74.9
2021,S1084,C3,1st,Male,T0059,0.872,80.3,65.6,80.2
2022,S1084,C3,2nd,Male,T0062,0.892,89.7,94.2,87.9
2023,S1084,C3,3rd,Male,T0097,0.695,72.1,65.2,64.2
2024,S1084,C3,4th,Male,T0069,0.956,85.5,58.3,77.5
2025,S1084,C3,5th,Male,T0117,0.918,73.3,58.0,80.6
2021,S1085,C3,1st,Male,T0058,0.846,72.1,68.1,67.5
2022,S1085,C3,2nd,Male,T0060,0.957,77.4,91.3,80.3
2023,S1085,C3,3rd,Male,T0097,0.859,83.1,76.9,86.5
2024,S1085,C3,4th,Male,T0071,0.885,63.9,47.5,70.6
2025,S1085,C3,5th,Male,T0075,0.921,79.0,76.7,76.1
2021,S1086,C3,1st,Female,T0056,0.901,81.5,81.2,73.6
2022,S1086,C3,2nd,Female,T0063,0.968,90.2,85.2,83.5
2023,S1086,C3,3rd,Female,T0097,0.937,85.7,75.5,85.6
2024,S1086,C3,4th,Female,T0071,0.775,59.4,43.2,62.7
2025,S1086,C3,5th,Female,T0117,0.991,83.1,70.6,83.0
2021,S1087,C3,1st,Male,T0058,0.943,88.9,87.1,91.9
2022,S1087,C3,2nd,Male,T0061,0.926,78.2,73.6,81.3
2023,S1087,C3,3rd,Male,T0064,0.843,76.0,76.0,63.9
2024,S1087,C3,4th,Male,T0070,0.91,84.4,83.3,85.2
2025,S1087,C3,5th,Male,T0089,0.967,83.7,73.3,92.7
2021,S1088,C3,1st,Male,T0059,0.826,67.3,64.2,70.0
2022,S1088,C3,2nd,Male,T0060,0.966,81.1,89.9,81.3
2023,S1088,C3,3rd,Male,T0087,0.971,97.5,88.4,92.5
2024,S1088,C3,4th,Male,T0070,0.812,78.8,64.2,67.7
2025,S1088,C3,5th,Male,T0072,0.937,68.9,83.7,73.3
2021,S1089,C3,1st,Female,T0057,0.757,63.7,69.4,70.8
2022,S1089,C3,2nd,Female,T0060,0.862,75.4,82.7,90.2
2023,S1089,C3,3rd,Female,T0098,0.895,56.1,51.7,44.9
2024,S1089,C3,4th,Female,T0071,0.862,71.4,72.3,73.7
2025,S1089,C3,5th,Female,T0117,0.849,78.9,51.8,67.8
2021,S1090,C3,1st,Female,T0059,0.891,72.4,68.4,83.4
2022,S1090,C3,2nd,Female,T0061,1.0,80.2,78.4,68.6
2023,S1090,C3,3rd,Female,T0098,0.962,63.0,56.4,52.6
2024,S1090,C3,4th,Female,T0068,0.967,91.5,94.2,93.4
2025,S1090,C3,5th,Female,T0075,0.771,73.7,52.3,64.7
2021,S1091,C3,1st,Female,T0059,0.844,68.0,69.2,63.5
2022,S1091,C3,2nd,Female,T0062,0.902,86.5,81.5,90.3
2023,S1091,C3,3rd,Female,T0097,0.881,81.9,84.1,82.4
2024,S1091,C3,4th,Female,T0069,1.0,78.7,80.6,70.8
2025,S1091,C3,5th,Female,T0072,0.917,82.9,70.3,78.7
2021,S1092,C3,1st,Female,T0057,0.962,76.8,75.2,74.7
2022,S1092,C3,2nd,Female,T0062,0.893,78.6,71.5,69.4
2023,S1092,C3,3rd,Female,T0097,0.931,86.2,90.9,77.9
2024,S1092,C3,4th,Female,T0069,0.958,76.2,69.5,92.9
2025,S1092,C3,5th,Female,T0117,0.882,70.4,53.3,63.8
2021,S1093,C3,1st,Male,T0055,0.974,95.1,89.2,82.8
2022,S1093,C3,2nd,Male,T0060,1.0,84.3,79.5,78.0
2023,S1093,C3,3rd,Male,T0097,0.807,93.1,75.7,82.0
2024,S1093,C3,4th,Male,T0071,0.805,70.2,57.2,69.4
2025,S1093,C3,5th,Male,T0072,0.961,83.1,57.9,79.3
2021,S1094,C3,1st,Male,T0057,0.786,70.3,73.1,72.0
2022,S1094,C3,2nd,Male,T0063,0.845,75.6,71.5,85.7
2023,S1094,C3,3rd,Male,T0064,0.773,73.1,71.5,68.4
2024,S1094,C3,4th,Male,T0068,0.858,92.3,71.3,92.3
2025,S1094,C3,5th,Male,T0072,0.857,72.5,62.8,79.0
2021,S1095,C3,1st,Female,T0055,0.989,77.3,69.1,74.8
2022,S1095,C3,2nd,Female,T0062,0.802,74.1,80.1,79.3
2023,S1095,C3,3rd,Female,T0087,0.778,71.5,61.6,70.6
2024,S1095,C3,4th,Female,T0068,0.769,88.7,78.9,86.1
2025,S1095,C3,5th,Female,T0072,1.0,90.1,81.8,95.0
2021,S1096,C3,1st,Female,T0056,0.857,78.7,76.3,74.2
2022,S1096,C3,2nd,Female,T0061,1.0,82.2,89.4,74.5
2023,S1096,C3,3rd,Female,T0097,0.887,83.2,75.0,76.5
2024,S1096,C3,4th,Female,T0068,0.816,91.9,80.3,88.4
2025,S1096,C3,5th,Female,T0089,0.838,74.5,66.0,70.5
2021,S1097,C3,1st,Male,T0055,0.901,80.9,77.5,69.9
2022,S1097,C3,2nd,Male,T0061,0.953,86.5,81.4,79.4
2023,S1097,C3,3rd,Male,T0064,0.866,63.3,79.7,77.5
2024,S1097,C3,4th,Male,T0068,0.787,68.9,74.6,92.3
2025,S1097,C3,5th,Male,T0072,0.762,71.0,76.2,74.2
2021,S1098,C3,1st,Female,T0057,0.994,93.8,77.5,89.6
2022,S1098,C3,2nd,Female,T0060,0.796,78.8,74.0,78.3
2023,S1098,C3,3rd,Female,T0064,0.851,76.3,66.0,77.6
2024,S1098,C3,4th,Female,T0069,0.873,78.7,61.1,78.6
2025,S1098,C3,5th,Female,T0075,0.862,81.4,74.5,76.9
2021,S1099,C3,1st,Male,T0056,0.92,87.3,83.0,82.3
2022,S1099,C3,2nd,Male,T0060,0.785,62.7,60.1,66.1
2023,S1099,C3,3rd,Male,T0087,0.778,78.5,85.9,77.0
2024,S1099,C3,4th,Male,T0071,0.852,65.0,68.8,72.6
2025,S1099,C3,5th,Male,T0075,0.876,70.6,72.5,73.1
2021,S1100,C3,1st,Male,T0058,0.818,67.3,67.9,77.4
2022,S1100,C3,2nd,Male,T0062,0.832,75.6,86.3,76.0
2023,S1100,C3,3rd,Male,T0087,0.974,81.8,89.1,86.7
2024,S1100,C3,4th,Male,T0070,0.918,81.3,82.3,79.6
2025,S1100,C3,5th,Male,T0072,0.78,82.7,60.1,83.9
2021,S1101,C3,1st,Female,T0059,0.845,75.9,67.1,66.3
2022,S1101,C3,2nd,Female,T0063,0.926,83.9,76.6,86.9
2023,S1101,C3,3rd,Female,T0087,0.902,90.3,85.3,87.9
2024,S1101,C3,4th,Female,T0069,0.789,65.6,65.5,58.5
2025,S1101,C3,5th,Female,T0117,0.835,71.4,57.4,63.0
2021,S1102,C3,1st,Female,T0056,0.96,82.5,76.1,85.7
2022,S1102,C3,2nd,Female,T0060,0.772,71.8,66.0,77.1
2023,S1102,C3,3rd,Female,T0098,0.844,57.0,31.9,38.8
2024,S1102,C3,4th,Female,T0069,0.938,75.9,72.0,87.0
2025,S1102,C3,5th,Female,T0089,0.951,79.8,65.3,77.9
2021,S1103,C3,1st,Female,T0059,0.869,76.9,80.3,69.7
2022,S1103,C3,2nd,Female,T0061,0.943,72.7,66.6,64.7
2023,S1103,C3,3rd,Female,T0098,0.955,59.9,50.2,51.2
2024,S1103,C3,4th,Female,T0070,1.0,84.3,79.0,72.6
2025,S1103,C3,5th,Female,T0075,0.858,74.2,73.8,82.0
2021,S1104,C3,1st,Male,T0056,0.9,86.5,67.0,84.9
2022,S1104,C3,2nd,Male,T0062,0.982,80.5,90.0,91.3
2023,S1104,C3,3rd,Male,T0097,0.97,93.5,90.2,95.2
2024,S1104,C3,4th,Male,T0070,0.863,78.4,66.7,85.7
2025,S1104,C3,5th,Male,T0072,0.945,87.0,62.0,78.1
2021,S1105,C3,1st,Female,T0059,0.827,71.4,71.1,78.7
2022,S1105,C3,2nd,Female,T0060,0.957,94.7,73.4,77.7
2023,S1105,C3,3rd,Female,T0087,0.752,72.3,67.3,75.3
2024,S1105,C3,4th,Female,T0068,1.0,92.1,78.5,97.5
2025,S1105,C3,5th,Female,T0072,0.978,84.5,70.3,94.1
2021,S1106,C3,1st,Male,T0057,0.916,92.5,87.9,100.0
2022,S1106,C3,2nd,Male,T0062,0.966,88.6,92.4,90.3
2023,S1106,C3,3rd,Male,T0087,0.904,76.9,81.7,86.1
2024,S1106,C3,4th,Male,T0071,0.869,71.3,57.9,75.9
2025,S1106,C3,5th,Male,T0075,0.958,74.7,66.4,86.4
2021,S1107,C3,1st,Male,T0059,0.903,72.4,73.5,71.5
2022,S1107,C3,2nd,Male,T0062,1.0,94.5,81.0,83.0
2023,S1107,C3,3rd,Male,T0087,0.898,97.2,81.5,86.5
2024,S1107,C3,4th,Male,T0069,1.0,75.5,73.9,86.5
2025,S1107,C3,5th,Male,T0075,0.862,77.3,76.0,76.6
2021,S1108,C3,1st,Female,T0059,0.972,78.2,72.8,80.5
2022,S1108,C3,2nd,Female,T0060,1.0,89.1,86.4,92.1
2023,S1108,C3,3rd,Female,T0087,0.859,80.5,79.7,74.0
2024,S1108,C3,4th,Female,T0071,0.897,78.4,67.3,76.3
2025,S1108,C3,5th,Female,T0089,0.933,84.5,60.6,84.1
2021,S1109,C3,1st,Female,T0058,0.869,90.8,87.8,72.3
2022,S1109,C3,2nd,Female,T0062,0.901,79.2,70.2,77.3
2023,S1109,C3,3rd,Female,T0097,0.852,94.2,83.4,79.7
2024,S1109,C3,4th,Female,T0068,0.964,93.4,93.8,86.7
2025,S1109,C3,5th,Female,T0072,0.841,71.0,55.8,79.5
2021,S1110,C3,1st,Female,T0058,0.839,63.7,72.2,80.6
2022,S1110,C3,2nd,Female,T0060,0.897,75.3,74.9,81.6
2023,S1110,C3,3rd,Female,T0064,0.9,78.8,80.1,73.6
2024,S1110,C3,4th,Female,T0071,0.81,55.1,55.2,65.2
2025,S1110,C3,5th,Female,T0075,0.96,88.1,70.9,80.0
2021,S1111,C3,1st,Female,T0055,0.873,64.8,78.9,76.4
2022,S1111,C3,2nd,Female,T0063,0.828,70.3,69.8,82.5
2023,S1111,C3,3rd,Female,T0097,0.861,81.5,70.1,73.3
2024,S1111,C3,4th,Female,T0071,1.0,74.4,71.2,73.8
2025,S1111,C3,5th,Female,T0117,0.798,59.5,59.1,68.6
2021,S1112,C3,1st,Female,T0058,0.854,75.0,87.7,70.6
2022,S1112,C3,2nd,Female,T0061,0.898,75.8,72.8,63.8
2023,S1112,C3,3rd,Female,T0098,0.816,58.4,43.4,56.0
2024,S1112,C3,4th,Female,T0070,0.863,76.2,59.6,85.3
2025,S1112,C3,5th,Female,T0075,0.879,87.2,66.7,75.0
2021,S1113,C3,1st,Female,T0057,0.877,84.9,80.8,77.4
2022,S1113,C3,2nd,Female,T0062,0.899,94.0,89.7,89.6
2023,S1113,C3,3rd,Female,T0087,0.792,75.8,78.2,79.5
2024,S1113,C3,4th,Female,T0070,1.0,89.6,72.7,74.3
2025,S1113,C3,5th,Female,T0072,0.938,86.6,68.4,86.3
2021,S1114,C3,1st,Male,T0055,1.0,84.8,71.1,83.3
2022,S1114,C3,2nd,Male,T0062,0.921,87.1,78.1,79.8
2023,S1114,C3,3rd,Male,T0064,0.958,81.6,64.2,77.6
2024,S1114,C3,4th,Male,T0069,0.725,61.3,42.5,50.5
2025,S1114,C3,5th,Male,T0089,0.953,85.8,79.3,83.9
2021,S1115,C3,1st,Male,T0056,0.797,75.6,72.0,82.9
2022,S1115,C3,2nd,Male,T0061,0.923,76.3,73.9,70.6
2023,S1115,C3,3rd,Male,T0097,0.897,81.4,77.2,93.0
2024,S1115,C3,4th,Male,T0069,0.875,58.5,76.6,78.4
2025,S1115,C3,5th,Male,T0075,0.818,79.3,72.7,87.0
2021,S1116,C3,1st,Male,T0058,1.0,88.1,89.7,87.7
2022,S1116,C3,2nd,Male,T0061,0.808,72.7,59.2,75.8
2023,S1116,C3,3rd,Male,T0097,0.78,70.5,76.8,76.6
2024,S1116,C3,4th,Male,T0069,0.997,81.8,83.0,82.3
2025,S1116,C3,5th,Male,T0117,1.0,74.5,78.2,68.8
2021,S1117,C3,1st,Male,T0058,0.887,84.4,76.4,79.8
2022,S1117,C3,2nd,Male,T0062,0.996,91.6,94.5,81.4
2023,S1117,C3,3rd,Male,T0064,0.933,78.4,70.0,74.6
2024,S1117,C3,4th,Male,T0071,0.918,70.2,76.0,72.2
2025,S1117,C3,5th,Male,T0089,0.909,68.0,66.9,76.2
2021,S1118,C3,1st,Female,T0056,0.764,71.1,64.5,83.8
2022,S1118,C3,2nd,Female,T0063,0.88,77.1,81.3,80.9
2023,S1118,C3,3rd,Female,T0087,0.894,95.8,72.4,88.2
2024,S1118,C3,4th,Female,T0068,0.957,99.8,98.8,100.0
2025,S1118,C3,5th,Female,T0089,0.964,82.8,76.0,80.7
2021,S1119,C3,1st,Female,T0055,0.963,83.6,77.5,85.9
2022,S1119,C3,2nd,Female,T0060,0.767,77.4,81.0,64.0
2023,S1119,C3,3rd,Female,T0098,1.0,56.9,55.1,64.9
2024,S1119,C3,4th,Female,T0070,0.901,83.7,73.0,80.0
2025,S1119,C3,5th,Female,T0117,0.936,59.4,68.0,70.2
2021,S1120,C3,1st,Male,T0055,0.943,73.0,90.6,77.0
2022,S1120,C3,2nd,Male,T0063,0.78,71.2,85.1,74.3
2023,S1120,C3,3rd,Male,T0087,0.98,96.7,84.9,81.4
2024,S1120,C3,4th,Male,T0070,0.97,81.1,81.2,75.4
2025,S1120,C3,5th,Male,T0075,0.914,82.2,69.2,90.5
2021,S1121,C3,1st,Male,T0057,0.784,74.4,78.9,76.3
2022,S1121,C3,2nd,Male,T0062,1.0,90.6,91.5,92.9
2023,S1121,C3,3rd,Male,T0064,0.902,67.8,67.8,77.2
2024,S1121,C3,4th,Male,T0068,1.0,97.8,93.1,97.5
2025,S1121,C3,5th,Male,T0072,0.915,85.5,75.4,82.7
2021,S1122,C3,1st,Female,T0059,0.894,60.0,67.0,74.6
2022,S1122,C3,2nd,Female,T0062,0.845,79.7,66.4,77.5
2023,S1122,C3,3rd,Female,T0064,0.927,88.1,87.8,78.0
2024,S1122,C3,4th,Female,T0068,0.788,80.1,75.6,87.7
2025,S1122,C3,5th,Female,T0117,0.829,74.9,73.3,75.3
2021,S1123,C3,1st,Male,T0059,0.881,72.2,67.9,69.1
2022,S1123,C3,2nd,Male,T0061,0.992,88.7,81.1,95.5
2023,S1123,C3,3rd,Male,T0064,0.912,85.5,68.0,70.9
2024,S1123,C3,4th,Male,T0070,0.916,85.0,74.5,85.7
2025,S1123,C3,5th,Male,T0089,0.904,76.0,67.2,70.2
2021,S1124,C3,1st,Female,T0058,0.907,81.1,87.8,87.0
2022,S1124,C3,2nd,Female,T0063,0.7,62.1,81.4,76.5
2023,S1124,C3,3rd,Female,T0097,0.96,95.3,79.1,89.4
2024,S1124,C3,4th,Female,T0068,0.815,76.9,71.7,72.8
2025,S1124,C3,5th,Female,T0072,0.954,78.8,79.3,80.9
2021,S1125,C3,1st,Female,T0055,0.901,82.6,74.2,72.0
2022,S1125,C3,2nd,Female,T0063,1.0,85.4,91.1,79.6
2023,S1125,C3,3rd,Female,T0097,0.891,85.1,82.7,83.5
2024,S1125,C3,4th,Female,T0069,1.0,76.0,75.5,83.9
2025,S1125,C3,5th,Female,T0075,0.8,75.1,69.9,71.7
2021,S1126,C3,1st,Female,T0058,0.849,86.3,82.1,78.3
2022,S1126,C3,2nd,Female,T0061,0.848,83.6,67.3,77.4
2023,S1126,C3,3rd,Female,T0064,0.947,77.0,83.0,78.7
2024,S1126,C3,4th,Female,T0070,0.869,83.6,66.7,72.5
2025,S1126,C3,5th,Female,T0072,0.891,66.8,80.9,82.9
2021,S1127,C3,1st,Female,T0058,0.973,84.7,76.0,84.0
2022,S1127,C3,2nd,Female,T0061,0.919,67.7,77.0,76.8
2023,S1127,C3,3rd,Female,T0098,0.992,60.6,60.6,52.1
2024,S1127,C3,4th,Female,T0069,0.908,67.1,69.9,89.2
2025,S1127,C3,5th,Female,T0075,0.848,87.2,68.5,79.9
2021,S1128,C3,1st,Female,T0058,0.724,71.1,74.2,69.6
2022,S1128,C3,2nd,Female,T0060,0.848,68.9,78.5,83.7
2023,S1128,C3,3rd,Female,T0098,0.935,65.7,43.4,55.8
2024,S1128,C3,4th,Female,T0068,0.746,76.8,81.2,83.3
2025,S1128,C3,5th,Female,T0089,0.973,88.2,79.0,95.9
2021,S1129,C3,1st,Male,T0057,0.9,82.6,93.4,85.9
2022,S1129,C3,2nd,Male,T0060,0.897,75.0,82.7,73.0
2023,S1129,C3,3rd,Male,T0097,0.938,96.0,76.6,80.8
2024,S1129,C3,4th,Male,T0071,0.919,74.6,57.6,72.3
2025,S1129,C3,5th,Male,T0089,0.944,86.1,58.7,77.8
2021,S1130,C3,1st,Female,T0056,0.883,70.8,89.9,82.9
2022,S1130,C3,2nd,Female,T0061,0.941,74.8,73.2,66.5
2023,S1130,C3,3rd,Female,T0097,0.857,77.4,73.9,81.8
2024,S1130,C3,4th,Female,T0068,0.886,84.7,76.4,82.3
2025,S1130,C3,5th,Female,T0117,0.745,60.9,60.1,57.4
2021,S1131,C3,1st,Female,T0055,0.94,74.9,70.0,80.6
2022,S1131,C3,2nd,Female,T0063,0.704,52.1,57.3,64.6
2023,S1131,C3,3rd,Female,T0097,0.887,85.5,82.4,96.6
2024,S1131,C3,4th,Female,T0070,0.872,64.6,58.5,72.1
2025,S1131,C3,5th,Female,T0075,0.885,83.9,68.4,71.6
2021,S1132,C3,1st,Male,T0056,0.846,78.9,82.8,75.8
2022,S1132,C3,2nd,Male,T0062,0.795,81.7,75.7,75.5
2023,S1132,C3,3rd,Male,T0098,0.994,57.4,54.1,66.0
2024,S1132,C3,4th,Male,T0068,0.86,95.8,88.2,100.0
2025,S1132,C3,5th,Male,T0075,0.959,79.4,76.7,80.6
2021,S1133,C3,1st,Female,T0058,0.943,85.9,85.7,85.3
2022,S1133,C3,2nd,Female,T0063,0.904,90.0,70.1,81.5
2023,S1133,C3,3rd,Female,T0098,0.974,59.4,70.7,52.8
2024,S1133,C3,4th,Female,T0071,1.0,79.1,78.3,75.4
2025,S1133,C3,5th,Female,T0075,0.968,71.7,68.2,87.7
2021,S1134,C3,1st,Female,T0055,0.962,75.6,79.7,86.8
2022,S1134,C3,2nd,Female,T0063,0.763,66.0,80.1,65.2
2023,S1134,C3,3rd,Female,T0098,0.933,68.2,70.5,60.7
2024,S1134,C3,4th,Female,T0070,0.911,77.6,75.9,78.2
2025,S1134,C3,5th,Female,T0072,0.815,77.3,72.4,85.8
2021,S1135,C3,1st,Female,T0059,0.906,73.0,85.4,73.6
2022,S1135,C3,2nd,Female,T0060,0.876,84.0,74.0,80.0
2023,S1135,C3,3rd,Female,T0097,1.0,86.7,89.2,89.4
2024,S1135,C3,4th,Female,T0069,0.948,84.1,68.7,78.5
2025,S1135,C3,5th,Female,T0075,0.805,85.7,52.6,83.3
2021,S1136,C3,1st,Female,T0056,0.798,71.5,78.2,75.8
2022,S1136,C3,2nd,Female,T0061,0.869,76.0,58.0,71.8
2023,S1136,C3,3rd,Female,T0098,0.916,58.6,47.1,44.2
2024,S1136,C3,4th,Female,T0070,0.851,76.5,73.7,74.6
2025,S1136,C3,5th,Female,T0075,0.957,80.4,74.1,89.3
2021,S1137,C3,1st,Female,T0055,0.873,72.9,84.5,66.1
2022,S1137,C3,2nd,Female,T0060,0.929,80.3,82.6,75.4
2023,S1137,C3,3rd,Female,T0097,0.911,87.2,79.6,82.6
2024,S1137,C3,4th,Female,T0070,0.89,85.7,73.4,82.9
2025,S1137,C3,5th,Female,T0072,0.933,84.7,68.2,86.3
2021,S1138,C3,1st,Female,T0059,0.939,75.4,75.7,80.1
2022,S1138,C3,2nd,Female,T0061,0.908,68.7,62.1,80.8
2023,S1138,C3,3rd,Female,T0064,0.948,82.6,56.9,88.5
2024,S1138,C3,4th,Female,T0070,0.828,72.9,60.9,81.6
2025,S1138,C3,5th,Female,T0075,0.889,78.5,65.5,87.5
2021,S1139,C3,1st,Female,T0055,0.937,68.7,69.0,69.6
2022,S1139,C3,2nd,Female,T0061,0.9,72.1,67.2,64.4
2023,S1139,C3,3rd,Female,T0097,1.0,88.0,92.8,90.9
2024,S1139,C3,4th,Female,T0070,0.896,79.4,79.8,76.5
2025,S1139,C3,5th,Female,T0117,0.85,72.9,55.0,66.0
2021,S1140,C3,1st,Female,T0057,0.793,83.7,94.2,84.1
2022,S1140,C3,2nd,Female,T0062,0.914,83.3,83.2,87.3
2023,S1140,C3,3rd,Female,T0087,0.756,75.0,77.1,65.8
2024,S1140,C3,4th,Female,T0068,1.0,100.0,95.5,100.0
2025,S1140,C3,5th,Female,T0117,0.908,62.1,71.6,74.2
2021,S1141,C3,1st,Female,T0058,0.988,90.3,94.6,86.0
2022,S1141,C3,2nd,Female,T0061,0.797,63.0,69.7,68.7
2023,S1141,C3,3rd,Female,T0097,0.962,87.3,82.3,99.1
2024,S1141,C3,4th,Female,T0069,0.868,79.4,72.8,80.3
2025,S1141,C3,5th,Female,T0117,0.914,71.0,47.0,80.4
2021,S1142,C3,1st,Female,T0059,0.869,70.9,60.0,74.0
2022,S1142,C3,2nd,Female,T0060,0.969,71.3,87.0,84.3
2023,S1142,C3,3rd,Female,T0087,0.763,76.3,59.4,78.6
2024,S1142,C3,4th,Female,T0068,0.834,85.9,86.2,86.6
2025,S1142,C3,5th,Female,T0117,0.82,71.4,54.9,70.3
2021,S1143,C3,1st,Female,T0058,0.894,86.4,68.5,82.8
2022,S1143,C3,2nd,Female,T0061,0.999,80.5,69.6,84.1
2023,S1143,C3,3rd,Female,T0098,0.755,40.0,44.7,48.2
2024,S1143,C3,4th,Female,T0069,0.798,74.6,66.4,68.9
2025,S1143,C3,5th,Female,T0075,0.882,78.6,65.0,82.9
2021,S1144,C3,1st,Male,T0058,0.908,75.4,74.5,87.9
2022,S1144,C3,2nd,Male,T0061,0.89,78.0,70.0,71.7
2023,S1144,C3,3rd,Male,T0097,0.938,94.9,86.8,85.0
2024,S1144,C3,4th,Male,T0068,0.883,92.0,79.8,89.8
2025,S1144,C3,5th,Male,T0075,0.919,90.9,80.2,70.5
2021,S1145,C3,1st,Female,T0059,0.916,53.3,67.1,76.3
2022,S1145,C3,2nd,Female,T0062,0.892,83.5,73.1,78.8
2023,S1145,C3,3rd,Female,T0097,0.857,88.5,68.5,80.5
2024,S1145,C3,4th,Female,T0068,0.97,94.2,100.0,95.6
2025,S1145,C3,5th,Female,T0089,1.0,79.5,81.6,84.9
2021,S1146,C3,1st,Female,T0058,0.81,86.2,82.6,79.6
2022,S1146,C3,2nd,Female,T0063,0.926,75.0,75.6,72.0
2023,S1146,C3,3rd,Female,T0087,1.0,91.7,100.0,97.7
2024,S1146,C3,4th,Female,T0070,0.962,72.1,80.5,69.7
2025,S1146,C3,5th,Female,T0072,0.906,77.2,74.9,82.2
2021,S1147,C3,1st,Male,T0059,0.967,76.4,91.3,84.7
2022,S1147,C3,2nd,Male,T0061,0.939,75.1,67.2,68.8
2023,S1147,C3,3rd,Male,T0087,0.843,84.0,77.1,66.7
2024,S1147,C3,4th,Male,T0068,0.829,88.4,91.6,93.7
2025,S1147,C3,5th,Male,T0075,0.744,63.1,65.2,59.6
2021,S1148,C3,1st,Female,T0056,0.899,74.1,74.3,67.8
2022,S1148,C3,2nd,Female,T0063,0.878,76.8,84.1,84.8
2023,S1148,C3,3rd,Female,T0097,1.0,95.9,86.1,95.3
2024,S1148,C3,4th,Female,T0068,0.822,93.1,85.0,97.8
2025,S1148,C3,5th,Female,T0072,0.957,69.4,77.4,80.2
2021,S1149,C3,1st,Male,T0055,0.936,70.9,80.6,75.6
2022,S1149,C3,2nd,Male,T0063,0.924,91.9,70.8,85.9
2023,S1149,C3,3rd,Male,T0097,0.861,87.4,78.3,81.3
2024,S1149,C3,4th,Male,T0068,0.777,75.7,70.0,81.8
2025,S1149,C3,5th,Male,T0072,0.833,67.8,65.0,79.2
2021,S1150,C3,1st,Male,T0057,1.0,84.7,87.8,80.6
2022,S1150,C3,2nd,Male,T0060,0.922,67.5,70.1,74.4
2023,S1150,C3,3rd,Male,T0098,0.817,42.1,52.2,47.4
2024,S1150,C3,4th,Male,T0068,0.795,82.1,84.1,78.1
2025,S1150,C3,5th,Male,T0117,0.968,66.3,77.0,68.8
2021,S1151,C3,1st,Female,T0059,0.877,78.9,78.5,81.9
2022,S1151,C3,2nd,Female,T0062,0.973,87.6,97.5,90.3
2023,S1151,C3,3rd,Female,T0064,1.0,79.8,82.4,90.4
2024,S1151,C3,4th,Female,T0070,0.886,80.7,78.0,83.5
2025,S1151,C3,5th,Female,T0089,0.945,80.7,62.8,89.8
2021,S1152,C3,1st,Male,T0055,0.856,62.1,74.6,74.5
2022,S1152,C3,2nd,Male,T0062,0.797,82.6,71.8,72.8
2023,S1152,C3,3rd,Male,T0087,0.957,79.8,90.1,88.2
2024,S1152,C3,4th,Male,T0071,0.967,69.2,62.9,81.8
2025,S1152,C3,5th,Male,T0072,0.77,70.1,77.1,77.0
2021,S1153,C3,1st,Female,T0058,0.904,80.5,93.4,76.3
2022,S1153,C3,2nd,Female,T0062,0.739,82.6,68.9,76.5
2023,S1153,C3,3rd,Female,T0097,0.894,67.7,76.5,74.2
2024,S1153,C3,4th,Female,T0069,0.71,67.0,61.0,69.5
2025,S1153,C3,5th,Female,T0089,0.838,70.8,54.5,76.1
2021,S1154,C3,1st,Female,T0057,0.891,85.1,80.1,76.4
2022,S1154,C3,2nd,Female,T0061,0.812,66.1,64.2,72.4
2023,S1154,C3,3rd,Female,T0064,1.0,84.9,66.9,79.1
2024,S1154,C3,4th,Female,T0068,0.967,84.7,96.8,94.1
2025,S1154,C3,5th,Female,T0072,0.754,66.5,55.6,68.1
2021,S1155,C3,1st,Female,T0055,1.0,77.8,73.7,81.7
2022,S1155,C3,2nd,Female,T0061,0.767,66.7,61.4,68.2
2023,S1155,C3,3rd,Female,T0087,0.91,87.9,91.3,89.2
2024,S1155,C3,4th,Female,T0070,0.918,76.1,68.0,75.0
2025,S1155,C3,5th,Female,T0089,0.903,74.7,73.0,84.2
2021,S1156,C3,1st,Male,T0059,1.0,85.8,89.3,88.0
2022,S1156,C3,2nd,Male,T0063,0.95,87.0,80.6,76.0
2023,S1156,C3,3rd,Male,T0098,0.849,51.1,56.8,65.5
